Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
glass6,RLO,20,0.9345514950166113,0.01750423903298274,0.7754911754911755,0.05059990190541468,0.8879941924484323,0.04957121310647625,0.9345514950166113,0.01750423903298274
ecoli3,RLO,30,0.8778314310798946,0.026087326568210962,0.4235819735819736,0.19830544052034013,0.6389752889172561,0.2275368791275411,0.8778314310798946,0.026087326568210962
segment0,RLO,30,0.8332347334516532,0.14399176745098502,0.6822488272921109,0.1771081603925413,0.8793056982660546,0.09266019168852256,0.8332347334516532,0.14399176745098502
vehicle2,RLO,30,0.7765541246084233,0.13834040813528994,0.686799053083534,0.16622543655576213,0.801585519034459,0.13106510709811545,0.7765541246084233,0.13834040813528994
yeast3,RLO,30,0.8800846300846301,0.0641532602626514,0.6206530350265909,0.10121606452347381,0.8506335315775168,0.051654424341841275,0.8800846300846301,0.0641532602626514
glass6,RLO,30,0.7688815060908084,0.23295215264131966,0.5535024958174863,0.25234057917590347,0.7374259125208986,0.2452895992631648,0.7688815060908084,0.23295215264131966
ecoli3,RLO,40,0.7792800702370501,0.19846519092070078,0.31999999999999995,0.2840970100355002,0.42949030484400474,0.3556549718440399,0.7792800702370501,0.19846519092070078
segment0,RLO,40,0.8985332093791965,0.14006194475330033,0.8065697771471936,0.20185299476790186,0.9217552754428073,0.08800005954113618,0.8985332093791965,0.14006194475330033
vehicle2,RLO,40,0.8416985729202924,0.07412444367251983,0.7548816752349677,0.07504652771588718,0.8506582599383211,0.04307552053117925,0.8416985729202924,0.07412444367251983
yeast3,RLO,40,0.865936390936391,0.037502605100070995,0.5779576794728045,0.07581600243201944,0.8397297998882001,0.03595028941915653,0.865936390936391,0.037502605100070995
glass6,RLO,40,0.7655592469545958,0.12208648151967681,0.4708720129772761,0.24737509447253234,0.70523535739936,0.1799244852807051,0.7655592469545958,0.12208648151967681
ecoli3,RLO,50,0.8488586479367866,0.10886845421363048,0.21840021840021837,0.20668641347148173,0.34900442695328754,0.30750305199292266,0.8488586479367866,0.10886845421363048
segment0,RLO,50,0.893498981134556,0.15120326592981823,0.7950023461638566,0.24335451755184365,0.9101115438993901,0.1322094221634163,0.893498981134556,0.15120326592981823
vehicle2,RLO,50,0.7752732335537764,0.13694727180012742,0.6702681262287173,0.1083063963098496,0.7616217753893098,0.0962388340906556,0.7752732335537764,0.13694727180012742
yeast3,RLO,50,0.851076076076076,0.06644287392571964,0.5246988448182223,0.11351517734335685,0.7731836032610901,0.08579070200956063,0.851076076076076,0.06644287392571964
glass6,RLO,50,0.8831672203765226,0.03893017402746389,0.6286647992530346,0.13168100032049307,0.8104476568234069,0.11199984338747404,0.8831672203765226,0.03893017402746389
ecoli3,RLO,60,0.8749341527655838,0.03235517472333458,0.29033333333333333,0.266033414776749,0.44545704957598,0.38686335453012477,0.8749341527655838,0.03235517472333458
segment0,RLO,60,0.8809176362321699,0.16874279648034768,0.7899820190854274,0.20948211339445813,0.9117318801927972,0.11405767898560269,0.8809176362321699,0.16874279648034768
vehicle2,RLO,60,0.7291681169509224,0.10401198674558797,0.6233849328237001,0.1043925645487969,0.757740888167328,0.09616946426188383,0.7291681169509224,0.10401198674558797
yeast3,RLO,60,0.8066452816452816,0.14058088031965996,0.5261217205362283,0.15927429262799794,0.7741036496148122,0.07006285318778081,0.8066452816452816,0.14058088031965996
glass6,RLO,60,0.873421926910299,0.04740946435708498,0.6254545454545454,0.11514513538945859,0.8178439572921624,0.06406429968140295,0.873421926910299,0.04740946435708498
